#SampleID	Env	day	plate	row	col	treatment
SYN001.A0101	saliva	0	NA	NA	NA	NA
SYN002.A0101	saliva	3	NA	NA	NA	NA
SYN003.A0101	saliva	5	NA	NA	NA	NA
SYN015.B0101	medium	7	1	D	4	control
SYN015.D0101	medium	12	1	D	4	control
SYN015.E0101	medium	15	1	D	4	control
SYN017.A0101	medium	5	2	A	1	control
SYN017.B0101	medium	7	2	A	1	control
SYN018.C0101	medium	9	2	A	4	control
SYN005.I0101	byoc_calculus	24	1	A	1	potato
SYN006.I0101	byoc_calculus	24	1	A	4	potato
SYN008.I0101	byoc_calculus	24	1	B	1	wheat
SYN009.I0101	byoc_calculus	24	1	B	4	wheat
SYN015.I0101	byoc_calculus	24	1	D	4	control
SYN018.I0101	byoc_calculus	24	2	A	4	control
SYN019.I0101	byoc_calculus	24	2	A	6	control
SYN022.I0101	byoc_calculus	24	2	B	6	mix
SYN023.I0101	byoc_calculus	24	2	C	1	wheat
SYN025.I0101	byoc_calculus	24	2	C	6	wheat
SYN028.I0101	byoc_calculus	24	2	D	6	potato
SYN014.A0101	medium	5	1	D	1	control
SYN014.C0101	medium	9	1	D	1	control
SYN015.F0101	medium	18	1	D	4	control
SYN015.G0101	medium	21	1	D	4	control
SYN015.H0101	medium	24	1	D	4	control
SYN017.D0101	medium	12	2	A	1	control
SYN017.E0101	medium	15	2	A	1	control
SYN017.F0101	medium	18	2	A	1	control
SYN017.G0101	medium	21	2	A	1	control
SYN018.H0101	medium	24	2	A	4	control
SYN012.I0101	byoc_calculus	24	1	C	4	wheat
SYN013.I0101	byoc_calculus	24	1	C	6	wheat
SYN016.I0101	byoc_calculus	24	1	D	6	control
SYN021.I0101	byoc_calculus	24	2	B	4	mix
SYN026.I0101	byoc_calculus	24	2	D	1	potato
