SRS ID,Body Site
SRS014477,subgingival_plaque
SRS063215,subgingival_plaque
SRS019129,subgingival_plaque
SRS019120,saliva
SRS014468,saliva
SRS015055,saliva
SRS013950,subgingival_plaque
SRS014692,saliva
SRS015064,subgingival_plaque
SRS019029,subgingival_plaque
SRS014107,subgingival_plaque
SRS013942,saliva
SRS014691,subgingival_plaque
SRS021960,supragingival_plaque
SRS045313,supragingival_plaque
SRS047265,supragingival_plaque
SRS051378,supragingival_plaque
SRS015755,supragingival_plaque
SRS015378,supragingival_plaque
SRS022149,supragingival_plaque
SRS064493,supragingival_plaque
SRS052604,supragingival_plaque
SRS019333,supragingival_plaque
ERR1883419,sediment
ERR1883420,sediment
ERR1883421,sediment
ERR1883422,sediment
ERR1883423,sediment
ERR1883424,sediment
ERR1883430,sediment
ERR1883436,sediment
ERR1883438,sediment
SRR1631060,skin
SRR1631061,skin
SRR1631063,skin
SRR1631064,skin
SRR1633008,skin
SRR3184100,skin
SRR3184876,skin
SRR3189411,skin
SRR3189416,skin
SRR3189418,skin
SRR059389,stool
SRR059425,stool
SRR059455,stool
SRR059917,stool
SRR060358,stool
SRR1761677,stool
SRR1761682,stool
SRR1761688,stool
SRR1761692,stool
SRR1761697,stool
SRR1761698,stool
SRR1761705,stool
SRR1761710,stool
SRR1761718,stool
SRR1761721,stool
SRR1929408,stool
SRR1930121,stool
SRR1930123,stool
SRR1930141,stool
SRR1930145,stool
